dt,type,orign_amount
2017-5-16,8,789333
2017-5-17,8,929901
2017-5-18,8,396071
2017-5-19,8,369104
2017-5-20,8,344686
2017-5-21,8,304828
2017-5-22,8,304501
2017-5-23,8,245850
2017-5-24,8,304924
2017-5-25,8,311414
2017-5-26,8,288287
2017-5-27,8,351666
2017-5-28,8,234083
2017-5-29,8,217633
2017-5-30,8,278651
2017-5-31,8,299580
2017-6-1,8,331073
2017-6-2,8,373609
2017-6-3,8,307016
2017-6-4,8,273613
2017-6-5,8,465878
2017-6-6,8,758386
2017-6-7,8,602397
2017-6-8,8,423955
2017-6-9,8,502548
2017-6-10,8,360460
2017-6-11,8,425673
2017-6-12,8,343170
2017-6-13,8,349244
2017-6-14,8,482025
2017-6-15,8,498454
2017-6-16,8,462122
2017-6-17,8,361721
2017-6-18,8,538695
2017-6-19,8,477254
2017-6-20,8,444222
2017-6-21,8,484761
2017-6-22,8,526784
2017-6-23,8,466493
2017-6-24,8,392361
2017-6-25,8,365272
2017-6-26,8,446268
2017-6-27,8,567481
2017-6-28,8,661348
2017-6-29,8,842792
2017-6-30,8,989007
2017-7-1,8,609946
2017-7-2,8,572306
2017-7-3,8,613243
2017-7-4,8,714317
2017-7-5,8,980937
2017-7-6,8,947632
2017-7-7,8,797463
2017-7-8,8,645615
2017-7-9,8,571235
2017-7-10,8,706588
2017-7-11,8,691155
2017-7-12,8,714842
2017-7-13,8,692212
2017-7-14,8,675740
2017-7-15,8,587256
2017-7-16,8,613997
2017-7-17,8,570009
2017-7-18,8,587523
2017-7-19,8,715793
2017-7-20,8,659053
2017-7-21,8,623746
2017-7-22,8,520099
2017-7-23,8,535878
2017-7-24,8,730963
2017-7-25,8,753267
2017-7-26,8,1008393
2017-7-27,8,879061
2017-7-28,8,929738
2017-7-29,8,721739
2017-7-30,8,738882
2017-7-31,8,959802
2017-8-1,8,803028
2017-8-2,8,720148
2017-8-3,8,646344
2017-8-4,8,361879
2017-8-5,8,363500
2017-8-6,8,379820
2017-8-7,8,437322
2017-8-8,8,432944
2017-8-9,8,560342
2017-8-10,8,502376
2017-8-11,8,437569
2017-8-12,8,492554
2017-8-13,8,478812.2
2017-8-14,8,341653.6
2017-8-15,8,491664.6
2017-8-16,8,663062.8
2017-8-17,8,508218
2017-8-18,8,528504.4
2017-8-19,8,316893.4
2017-8-20,8,337030
2017-8-21,8,429341
2017-8-22,8,364095
2017-8-23,8,382043
2017-8-24,8,272450
2017-8-25,8,196054
2017-8-26,8,239580.2
2017-8-27,8,365388.8
2017-8-28,8,326625.2
2017-8-29,8,358637.6
2017-8-30,8,358342
2017-8-31,8,413217
2017-9-1,8,433350.8
2017-9-2,8,193635
2017-9-3,8,195612
2017-9-4,8,236898.4
2017-9-5,8,268180.2
2017-9-6,8,280024
2017-9-7,8,247954
2017-9-8,8,244342.2
2017-9-9,8,223949
2017-9-10,8,244273.2
2017-9-11,8,187355
2017-9-12,8,172563
2017-9-13,8,378508
2017-9-14,8,337917
2017-9-15,8,722591.98
2017-9-16,8,676255.15
2017-9-17,8,597946.47
2017-9-18,8,858989.17
2017-9-19,8,711920.47
2017-9-20,8,853995.8
2017-9-21,8,725434.7
2017-9-22,8,880283.01
2017-9-23,8,757531.33
2017-9-24,8,846855.66
2017-9-25,8,851125.58
2017-9-26,8,466429.08
2017-9-27,8,800258.31
2017-9-28,8,448326.66
